"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"1860960";"93";"CRS3035RES200mN2890400E3767200";"CRS3035RES1000mN2890000E3767000";"CRS3035RES1000mN2890000E3767000";0;0;"9306393048";341,5;131;31;34;12;77;21;7842392,3;9454;56;75;66;24;4;37;0;0;27;8,5;22,5;25;32,5;70;68;45;30;13
"1860961";"93";"CRS3035RES200mN2890400E3767400";"CRS3035RES1000mN2890000E3767000";"CRS3035RES1000mN2890000E3767000";0;0;"9306393048";379;134;14;30;17;100;26;9440584,5;9141;55;79;61;19;11;42;1;0;22;8;27;40,5;41,5;59;89;44;33;15
"1861833";"93";"CRS3035RES200mN2890600E3767200";"CRS3035RES1000mN2890000E3767000";"CRS3035RES1000mN2890000E3767000";0;0;"93063";219;71;15;14;10;53;9;4745438,2;4544;8;63;60;3;3;5;0;0;7;5;11,5;22,5;23;32;61;30;21;6
"1861834";"93";"CRS3035RES200mN2890600E3767400";"CRS3035RES1000mN2890000E3767000";"CRS3035RES1000mN2890000E3767000";0;0;"93063";385,5;151;28;45;18;73;26;7971337,3;9910;75;76;53;12;5;81;0;40;27;14;24,5;31;25;91;94;37;35;7
"1861835";"93";"CRS3035RES200mN2890600E3767600";"CRS3035RES1000mN2890000E3767000";"CRS3035RES1000mN2890000E3767000";0;0;"93063";113;51;16;17;2;28;9;2074393,2;3007;19;32;36;5;2;8;0;0;4;4;8;8;4;18;26;18;18;5
"1861836";"93";"CRS3035RES200mN2890600E3767800";"CRS3035RES1000mN2890000E3767000";"CRS3035RES1000mN2890000E3767000";0;0;"9306393048";387;169;27;63;14;99;27;8879261,4;9902;138;31;31;67;14;57;0;15;36,5;11;25;22,5;24;104;82;43;30;9
"1862692";"93";"CRS3035RES200mN2890800E3767200";"CRS3035RES1000mN2890000E3767000";"CRS3035RES1000mN2890000E3767000";0;0;"93063";135;49;6;14;10;26;8;3214862,3;4029;21;28;32;2;5;10;0;0;15;8;6,5;10,5;13;34;20;19;8;1
"1862693";"93";"CRS3035RES200mN2890800E3767400";"CRS3035RES1000mN2890000E3767000";"CRS3035RES1000mN2890000E3767000";1;0;"93063";22;9,2;3;3;0,9;6;0,7;457801,8;669,6;1,6;7,6;6,4;1,6;0,5;0,7;0;0;1,4;0,9;1;1,5;1,4;3,7;5,3;2;4,1;0,7
"1862694";"93";"CRS3035RES200mN2890800E3767600";"CRS3035RES1000mN2890000E3767000";"CRS3035RES1000mN2890000E3767000";0;0;"93063";209,5;83;20;24;8;12;27;3888337,1;5986;72;11;8;2;1;72;0;67;4;4;14,5;23;19;33;48;36;18;8
"1862695";"93";"CRS3035RES200mN2890800E3767800";"CRS3035RES1000mN2890000E3767000";"CRS3035RES1000mN2890000E3767000";0;0;"9306393048";1018;370;81;105;47;60;79;19600001,4;25105;322;48;21;10;3;336;0;285;66,5;47;91;102;65,5;227;210;105;84;13
"1863573";"93";"CRS3035RES200mN2891000E3767200";"CRS3035RES1000mN2891000E3767000";"CRS3035RES1000mN2891000E3767000";0;0;"93063";759,5;270;44;76;48;109;44;16523385,2;21144;204;66;47;132;24;67;0;119;45;27;72,5;95;59;158;150;79;56;18
"1863574";"93";"CRS3035RES200mN2891000E3767400";"CRS3035RES1000mN2891000E3767000";"CRS3035RES1000mN2891000E3767000";0;0;"93063";191;98;7;54;7;72;8;4785009,8;5701;72;26;10;10;10;68;0;0;12;4;10;16,5;11,5;65;40;12;14;6
"1863575";"93";"CRS3035RES200mN2891000E3767600";"CRS3035RES1000mN2891000E3767000";"CRS3035RES1000mN2891000E3767000";1;0;"93063";16;6,4;1,2;2,1;0,5;4,5;0,8;409179,9;484;2;4,4;3,4;0,8;1,2;1;0;0,3;0,8;0,4;1,3;1,8;0,9;3;3,6;2,1;1,2;0,9
"1863576";"93";"CRS3035RES200mN2891000E3767800";"CRS3035RES1000mN2891000E3767000";"CRS3035RES1000mN2891000E3767000";0;0;"93063";797;300;89;91;44;13;61;13324611;20522;285;15;11;2;279;8;0;284;38;25;64,5;104,5;58;114;187;106;90;10
"1863577";"93";"CRS3035RES200mN2891000E3768000";"CRS3035RES1000mN2891000E3768000";"CRS3035RES1000mN2891000E3768000";0;0;"9306393053";1081,5;422;120;129;44;34;85;18298897,4;29470;398;24;55;11;352;4;0;351;61;38,5;79;130;76;203;197;136;123;37
"1864467";"93";"CRS3035RES200mN2891200E3767000";"CRS3035RES1000mN2891000E3767000";"CRS3035RES1000mN2891000E3767000";0;0;"9306393006";252;98;10;24;7;73;15;6426700,2;7359;53;45;45;5;5;43;0;0;24;4,5;15,5;21;13;61;45;35;25;8
"1864468";"93";"CRS3035RES200mN2891200E3767200";"CRS3035RES1000mN2891000E3767000";"CRS3035RES1000mN2891000E3767000";0;0;"93063";508,5;183;31;43;27;96;30;11968372;12251;107;76;25;63;2;93;0;58;34;22;49,5;52;37;103;117;51;33;10
"1864469";"93";"CRS3035RES200mN2891200E3767400";"CRS3035RES1000mN2891000E3767000";"CRS3035RES1000mN2891000E3767000";0;0;"93063";166;78;20;30;5;43;11;3545519,1;4505;48;30;35;15;5;23;0;0;6;6,5;9,5;12;11;44;25;24;19;9
"1864470";"93";"CRS3035RES200mN2891200E3767600";"CRS3035RES1000mN2891000E3767000";"CRS3035RES1000mN2891000E3767000";0;0;"93063";322;114;8;24;12;101;11;8599890,1;8944;16;98;50;6;4;54;0;0;10;1,5;16;29,5;41;45;75;56;39;9
"1864471";"93";"CRS3035RES200mN2891200E3767800";"CRS3035RES1000mN2891000E3767000";"CRS3035RES1000mN2891000E3767000";0;0;"93063";731;308;47;113;31;83;46;15763497,7;19881;299;9;16;153;0;139;0;150;60;27;50;63;42;224;143;50;48;23
"1864472";"93";"CRS3035RES200mN2891200E3768000";"CRS3035RES1000mN2891000E3768000";"CRS3035RES1000mN2891000E3768000";0;0;"9306393053";141;61;10;21;6;15;9;2824952,5;3199;46;15;7;5;2;45;2;0;11;4;10,5;7,5;9;50;27;15;6;1
"1865368";"93";"CRS3035RES200mN2891400E3766600";"CRS3035RES1000mN2891000E3766000";"CRS3035RES200mN2891400E3766600";0;0;"9306393045";689;282;52;103;22;139;38;16776258;17865;237;45;38;72;25;147;0;89;49;17;45,5;58;50,5;144;147;84;69;22
"1865369";"93";"CRS3035RES200mN2891400E3766800";"CRS3035RES1000mN2891000E3766000";"CRS3035RES200mN2891400E3766800";0;0;"93063";1499,5;593;196;209;68;57;124;24365058,1;35886;591;2;0;525;1;67;0;525;69;46;121,5;173;107;276;320;172;146;68
"1865370";"93";"CRS3035RES200mN2891400E3767000";"CRS3035RES1000mN2891000E3767000";"CRS3035RES1000mN2891000E3767000";0;0;"93063";776,5;301;72;106;33;163;29;16249665,6;17453;280;21;34;9;13;245;0;77;74;26;68,5;63;30;229;172;36;58;20
