"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"2174323";"80";"CRS3035RES200mN3001000E3771000";"CRS3035RES1000mN3001000E3771000";"CRS3035RES1000mN3001000E3771000";0;0;"8002180160";385;183;21;78;12;32;27;8200122,1;12141;130;53;6;4;4;169;0;96;24;10,5;26,5;33;37;113;77;32;23;9
"2174324";"80";"CRS3035RES200mN3001000E3771200";"CRS3035RES1000mN3001000E3771000";"CRS3035RES1000mN3001000E3771000";0;0;"8002180160";173;78;21;30;7;12;18;2895058,8;5870;62;16;6;2;6;64;0;60;8,5;5;12,5;10,5;25,5;42;31;26;9;3
"2174581";"80";"CRS3035RES200mN3001200E3770800";"CRS3035RES1000mN3001000E3770000";"CRS3035RES1000mN3001000E3770000";0;0;"80021";161,5;88;21;38;0;25;14;3622356,3;6020;86;2;0;0;0;88;0;38;14;3;4,5;4;18;54;34;16;14;0
"2174582";"80";"CRS3035RES200mN3001200E3771000";"CRS3035RES1000mN3001000E3771000";"CRS3035RES1000mN3001000E3771000";0;0;"80021";162,5;61;11;14;8;8;12;2915590,8;4550;30;31;9;0;3;49;0;46;7;7;18,5;17;16;32;34;19;11;1
"2174583";"80";"CRS3035RES200mN3001200E3771200";"CRS3035RES1000mN3001000E3771000";"CRS3035RES1000mN3001000E3771000";0;0;"80021";85;39;4;12;1;29;7;2165502;2904;5;34;7;24;2;6;0;0;1;0;3;9;9;15;26;8;8;6
"2174584";"80";"CRS3035RES200mN3001200E3771400";"CRS3035RES1000mN3001000E3771000";"CRS3035RES1000mN3001000E3771000";1;0;"80021";5;2,1;0,4;0,8;0,2;1,7;0,1;111556,6;176,4;0,3;1,8;0,5;0,7;0,1;0,8;0;0,1;0;0,1;0,1;0,5;0,5;0,8;1,5;1;0,3;0,2
"2174840";"80";"CRS3035RES200mN3001400E3768600";"CRS3035RES1000mN3001000E3768000";"CRS3035RES2000mN3000000E3768000";1;1;"8002180261";14;4,6;0;0,5;0,8;4,3;0;549781,7;885,3;0;4,6;0;0;0,3;4,3;0;0;0;0,3;0,5;0,8;2,5;1;2,8;2;3,3;0,8
"2174841";"80";"CRS3035RES200mN3001400E3768800";"CRS3035RES1000mN3001000E3768000";"CRS3035RES2000mN3000000E3768000";1;1;"80021";20;6,5;0;0,7;1,1;6,2;0;785402,4;1264,7;0;6,5;0;0;0,3;6,2;0;0;0;0,4;0,7;1,1;3,6;1,5;4;2,9;4,7;1,1
"2174842";"80";"CRS3035RES200mN3001400E3769000";"CRS3035RES1000mN3001000E3769000";"CRS3035RES2000mN3000000E3768000";0;0;"8002180702";33;15;1;5;1;14;0;1029887,8;2287;0;15;3;7;1;4;0;0;1;0;0;5;2;1;6;6;6;6
"2174844";"80";"CRS3035RES200mN3001400E3770800";"CRS3035RES1000mN3001000E3770000";"CRS3035RES1000mN3001000E3770000";1;0;"80021";24;9,7;0,5;2,6;1,5;7,7;1;638808,1;931,9;2;7,7;2,1;1,5;5,6;0,5;0;0,5;2;0,5;2,1;2,1;0,5;5,1;5,6;1,5;4,6;0
