dpt,"interprétation axes","le nom de 2 villes qui symbolisent un axe (classification) et l'axe concerné",,,,,
92,"Les variables population, emprunt, équipement et personnel sont corrélées. La variable état n'est pas liée aux autres variables.","Courbevoie, Rueil-Malmaison",,,,,
,,"Yvré_le_Polin, Malicorne-sur-Sarthe",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
67,"On remarque de fortes valeurs pour les variables de la population, l'état et le personnel qui semblent étroitement liées entre elles. Elles semblent détenir une faible corrélation avec la variable de l'équipement et pratiquement aucune avec l'emprunt."," Scharrachbergheim-Irmstett et Dossenheim-sur-Zinsel",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
92,"On remarque de fortes corrélations entre les variables personnel, population, emprunt et équipement. La  variable état n'est pas corrélée aux autres variables.",,,,,,
94,"On remarque que les variables populations et frais personnels sont corréelés entre elles et que les variables emprunts et equipements sont corrélés entre elle tandis que etat n'est pas corélée",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
13,"Le groupe constitué des variables équipement, population et personnel est corrélé avec la variable emprunt. En revanche, la variable état ne connaît presque pas de corrélation.","Aubagne et Salon-de-Provence",,,,,
