Devoir Examen groupe 1 (Brut),Devoir Examen groupe 2 (Brut),Devoir Examen groupe 3 (Brut),Devoir Examen de rattrapage (Brut)
-,2,-,-
-,-,7,-
-,12,-,-
-,9,-,-
-,10,-,-
-,-,-,-
-,-,-,12
13,-,-,-
-,-,-,12
8,-,-,-
-,-,6,-
-,-,-,-
-,-,-,-
10,-,-,-
-,-,-,2
-,-,13,-
-,-,-,-
-,-,13,-
-,-,12,-
-,-,8,-
-,-,13,-
-,4,7,-
12,-,-,-
-,-,-,-
-,14,-,-
-,-,-,14
13,-,-,-
-,13,-,-
-,-,10,-
-,4,-,-
-,13,-,-
-,-,17,-
-,-,-,-
-,3,-,-
-,-,17,-
-,12,-,-
-,-,15,-
-,-,10,-
13,-,-,-
-,14,-,-
-,-,-,-
11,-,-,-
13,-,-,-
-,-,-,-
-,2,-,-
-,-,9,-
13,-,-,-
-,8,-,-
-,-,-,-
-,-,-,-
-,-,11,-
-,-,15,-
-,-,10,-
-,-,-,-
-,-,14,-
12,12,-,-
14,-,-,-
-,8,-,-
-,-,-,-
-,-,6,-
-,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-
-,-,10,-
19,-,-,-
-,-,-,-
-,6,-,-
11,-,-,-
10,-,-,-
-,-,-,-
-,-,12,-
-,-,-,-
-,4,-,-
10,-,-,-
-,11,-,-
-,-,-,-
-,-,-,11
11,-,-,-
11,-,-,-
-,-,-,-
-,-,6,-
-,11,-,-
-,-,-,-
-,-,16,-
-,14,-,-
18,-,-,-
-,11,-,-
7,-,-,-
-,-,6,-
-,8,-,-
