"","LIBCOM","nb","zone"
"1","Paris 10e Arrondissement",6846,"IDF_DEP_75"
"2","Paris 11e Arrondissement",10155,"IDF_DEP_75"
"3","Paris 12e Arrondissement",16800,"IDF_DEP_75"
"4","Paris 13e Arrondissement",33988,"IDF_DEP_75"
"5","Paris 14e Arrondissement",19047,"IDF_DEP_75"
"6","Paris 15e Arrondissement",22492,"IDF_DEP_75"
"7","Paris 16e Arrondissement",5366,"IDF_DEP_75"
"8","Paris 17e Arrondissement",14659,"IDF_DEP_75"
"9","Paris 18e Arrondissement",21421,"IDF_DEP_75"
"10","Paris 19e Arrondissement",34379,"IDF_DEP_75"
"11","Paris 1er Arrondissement",1000,"IDF_DEP_75"
"12","Paris 20e Arrondissement",34451,"IDF_DEP_75"
"13","Paris 2e Arrondissement",676,"IDF_DEP_75"
"14","Paris 3e Arrondissement",1497,"IDF_DEP_75"
"15","Paris 4e Arrondissement",2286,"IDF_DEP_75"
"16","Paris 5e Arrondissement",2786,"IDF_DEP_75"
"17","Paris 6e Arrondissement",651,"IDF_DEP_75"
"18","Paris 7e Arrondissement",386,"IDF_DEP_75"
"19","Paris 8e Arrondissement",581,"IDF_DEP_75"
"20","Paris 9e Arrondissement",2002,"IDF_DEP_75"
"21","Armentières-en-Brie",1,"IDF_DEP_77"
"22","Avon",841,"IDF_DEP_77"
"23","Bagneaux-sur-Loing",319,"IDF_DEP_77"
"24","Bailly-Romainvilliers",393,"IDF_DEP_77"
"25","Beaumont-du-Gâtinais",21,"IDF_DEP_77"
"26","Beton-Bazoches",12,"IDF_DEP_77"
"27","Bois-le-Roi",28,"IDF_DEP_77"
"28","Boissise-la-Bertrand",11,"IDF_DEP_77"
"29","Boissise-le-Roi",239,"IDF_DEP_77"
"30","Boissy-le-Châtel",3,"IDF_DEP_77"
"31","Bouleurs",27,"IDF_DEP_77"
"32","Bourron-Marlotte",68,"IDF_DEP_77"
"33","Bray-sur-Seine",234,"IDF_DEP_77"
"34","Brie-Comte-Robert",1498,"IDF_DEP_77"
"35","Brou-sur-Chantereine",621,"IDF_DEP_77"
"36","Bussy-Saint-Georges",1881,"IDF_DEP_77"
"37","Cannes-Écluse",83,"IDF_DEP_77"
"38","Cély",12,"IDF_DEP_77"
"39","Cesson",558,"IDF_DEP_77"
"40","Chailly-en-Bière",16,"IDF_DEP_77"
"41","Chalautre-la-Grande",19,"IDF_DEP_77"
"42","Champagne-sur-Seine",1229,"IDF_DEP_77"
"43","Champcenest",4,"IDF_DEP_77"
"44","Champdeuil",5,"IDF_DEP_77"
"45","Champeaux",3,"IDF_DEP_77"
"46","Champs-sur-Marne",3815,"IDF_DEP_77"
"47","Changis-sur-Marne",12,"IDF_DEP_77"
"48","Chanteloup-en-Brie",207,"IDF_DEP_77"
"49","Chartrettes",14,"IDF_DEP_77"
"50","Château-Landon",70,"IDF_DEP_77"
"51","Chauconin-Neufmontiers",98,"IDF_DEP_77"
"52","Chaumes-en-Brie",50,"IDF_DEP_77"
"53","Chelles",4888,"IDF_DEP_77"
"54","Chenoise",67,"IDF_DEP_77"
"55","Chessy",394,"IDF_DEP_77"
"56","Chevry-Cossigny",121,"IDF_DEP_77"
"57","Citry",1,"IDF_DEP_77"
"58","Claye-Souilly",622,"IDF_DEP_77"
"59","Cocherel",1,"IDF_DEP_77"
"60","Collégien",293,"IDF_DEP_77"
"61","Combs-la-Ville",1725,"IDF_DEP_77"
"62","Compans",14,"IDF_DEP_77"
"63","Congis-sur-Thérouanne",8,"IDF_DEP_77"
"64","Coubert",61,"IDF_DEP_77"
"65","Coulommiers",2273,"IDF_DEP_77"
"66","Coupvray",50,"IDF_DEP_77"
"67","Courtry",279,"IDF_DEP_77"
"68","Crécy-la-Chapelle",92,"IDF_DEP_77"
"69","Crégy-lès-Meaux",468,"IDF_DEP_77"
"70","Croissy-Beaubourg",80,"IDF_DEP_77"
"71","Dammarie-les-Lys",3403,"IDF_DEP_77"
"72","Dammartin-en-Goële",334,"IDF_DEP_77"
"73","Dampmart",134,"IDF_DEP_77"
"74","Darvault",3,"IDF_DEP_77"
"75","Donnemarie-Dontilly",99,"IDF_DEP_77"
